200 mV/s,,,100 mV/s,,,50 mV/s,,,20 mV/s,
電圧,電流,,電圧,電流,,電圧,電流,,電圧,電流
0.527649581,3.58E-05,,0.363843173,-5.25E-06,,1.017066836,0.000366544,,0.526993215,-2.64E-05
0.529770315,3.66E-05,,0.365134895,-5.37E-06,,1.021940708,0.000367248,,0.52896136,-2.61E-05
0.531586289,3.72E-05,,0.365989506,-5.23E-06,,1.027036667,0.000368208,,0.531028688,-2.57E-05
0.53382808,3.78E-05,,0.366903514,-4.99E-06,,1.031954527,0.000369382,,0.53298676,-2.53E-05
0.535577595,3.85E-05,,0.368174702,-4.60E-06,,1.037109613,0.000370925,,0.535070837,-2.49E-05
0.537664235,3.94E-05,,0.368982762,-4.74E-06,,1.042122364,0.000371571,,0.53696382,-2.46E-05
0.539592206,4.01E-05,,0.369979799,-4.62E-06,,1.04716444,0.000371936,,0.539030969,-2.42E-05
0.541969717,4.09E-05,,0.370977014,-4.42E-06,,1.0521667,0.000372203,,0.540998399,-2.38E-05
0.54382956,4.18E-05,,0.372076809,-4.17E-06,,1.057189703,0.000372418,,0.542954564,-2.34E-05
0.545538902,4.26E-05,,0.372927159,-4.38E-06,,1.062159181,0.000372531,,0.544979572,-2.30E-05
0.54754132,4.37E-05,,0.373832762,-4.15E-06,,1.067201257,0.000372633,,0.546984196,-2.26E-05
0.54964,4.41E-05,,0.375064969,-3.96E-06,,1.072200298,0.000372677,,0.549047947,-2.22E-05
0.551464856,4.53E-05,,0.375856131,-3.76E-06,,1.077174902,0.000372668,,0.551012337,-2.18E-05
0.553579152,4.62E-05,,0.377050668,-3.76E-06,,1.082198501,0.000372725,,0.553054571,-2.14E-05
0.555692434,4.72E-05,,0.377927244,-3.58E-06,,1.08718431,0.000372711,,0.555024922,-2.09E-05
0.557589412,4.79E-05,,0.379095763,-3.41E-06,,1.092198253,0.00037269,,0.557032108,-2.05E-05
0.559487939,4.90E-05,,0.379976302,-3.05E-06,,1.097150564,0.00037268,,0.559032679,-2.01E-05
0.561635315,4.99E-05,,0.381066203,-3.25E-06,,1.102209806,0.000372677,,0.561045468,-1.96E-05
0.563591838,5.11E-05,,0.381882727,-2.98E-06,,1.10719502,0.000372685,,0.563008845,-1.91E-05
0.565942526,5.21E-05,,0.382925451,-2.94E-06,,1.112151265,0.000372641,,0.565028369,-1.87E-05
0.56759584,5.32E-05,,0.383907229,-2.70E-06,,1.11720264,0.000372664,,0.566931963,-1.82E-05
0.569817483,5.42E-05,,0.385140479,-2.90E-06,,1.122185707,0.000372727,,0.568980753,-1.78E-05
0.571676254,5.54E-05,,0.385948479,-2.77E-06,,1.127259135,0.000372838,,0.571002305,-1.73E-05
0.573751688,5.63E-05,,0.386899441,-2.51E-06,,1.132141352,0.000372758,,0.573050916,-1.68E-05
0.575600505,5.76E-05,,0.388028353,-2.21E-06,,1.137188792,0.000372858,,0.574982584,-1.63E-05
0.577885091,5.85E-05,,0.388884962,-2.49E-06,,1.142185688,0.000372961,,0.577044964,-1.58E-05
0.579614878,5.97E-05,,0.390087396,-2.31E-06,,1.147233129,0.000373082,,0.579020798,-1.53E-05
0.581477642,6.09E-05,,0.390916139,-2.10E-06,,1.152222037,0.00037321,,0.580956161,-1.48E-05
0.583393097,6.23E-05,,0.391883492,-1.94E-06,,1.157174706,0.000373332,,0.583079398,-1.42E-05
0.585888267,6.36E-05,,0.39294979,-2.04E-06,,1.162213802,0.000373632,,0.585018575,-1.37E-05
0.587989628,6.48E-05,,0.393900722,-1.85E-06,,1.167263865,0.000373881,,0.587011337,-1.32E-05
0.589520514,6.58E-05,,0.394947022,-1.56E-06,,1.172204494,0.000374066,,0.588923693,-1.27E-05
0.591860771,6.73E-05,,0.395939976,-1.37E-06,,1.1771456,0.000374404,,0.591010094,-1.21E-05
0.593527675,6.85E-05,,0.396995693,-1.58E-06,,1.182211995,0.000374856,,0.593000054,-1.16E-05
0.59560442,6.99E-05,,0.3981857,-1.01E-06,,1.187219977,0.000375326,,0.595074058,-1.09E-05
0.597784996,7.15E-05,,0.39894098,-1.24E-06,,1.192160249,0.000375831,,0.597011209,-1.04E-05
0.599767447,7.28E-05,,0.400072604,-8.89E-07,,1.197165132,0.000376492,,0.598966658,-9.81E-06
0.601869106,7.43E-05,,0.400919557,-1.05E-06,,1.19868207,0.000316576,,0.601007521,-9.26E-06
0.603847504,7.57E-05,,0.401783913,-8.28E-07,,1.193537116,0.000255854,,0.603039205,-8.65E-06
0.605709016,7.70E-05,,0.402773738,-6.99E-07,,1.188604474,0.000212683,,0.604974627,-8.09E-06
0.607853353,7.85E-05,,0.404084086,-4.41E-07,,1.183636665,0.000179193,,0.606956363,-7.49E-06
0.609677613,8.01E-05,,0.404918313,-6.37E-07,,1.178679705,0.000152641,,0.60902077,-6.91E-06
0.611643195,8.17E-05,,0.405946344,-4.46E-07,,1.173636198,0.00013094,,0.6109882,-6.28E-06
0.613571167,8.34E-05,,0.407106906,-4.39E-07,,1.168646216,0.00011308,,0.612991691,-5.70E-06
0.615531683,8.51E-05,,0.407880247,8.13E-08,,1.163664222,9.82E-05,,0.614973843,-5.06E-06
0.617753506,8.64E-05,,0.408974648,-2.66E-07,,1.158637762,8.55E-05,,0.617002368,-4.49E-06
0.619839549,8.84E-05,,0.410007775,-1.00E-07,,1.156193376,8.01E-05,,0.618956089,-3.84E-06
0.621931672,9.00E-05,,0.411082864,1.91E-07,,1.156193376,8.01E-05,,0.620985806,-3.26E-06
0.623644233,9.16E-05,,0.412130028,5.05E-07,,1.156193376,8.01E-05,,0.623035908,-2.62E-06
0.625541449,9.35E-05,,0.412977308,2.48E-07,,1.138661623,4.96E-05,,0.625027657,-2.03E-06
0.627734303,9.54E-05,,0.414093643,5.91E-07,,1.133728623,4.34E-05,,0.627038538,-1.38E-06
0.62993902,9.70E-05,,0.415177971,6.00E-07,,1.128730536,3.79E-05,,0.629040658,-7.87E-07
0.631483197,9.91E-05,,0.416148573,6.91E-07,,1.123650074,3.29E-05,,0.630993366,-1.57E-07
0.633750975,0.000100894,,0.417072624,6.56E-07,,1.118624091,2.85E-05,,0.63301295,4.57E-07
0.63606739,0.000102884,,0.418060511,8.30E-07,,1.113692641,2.45E-05,,0.635052681,1.10E-06
0.63735491,0.00010513,,0.419126987,8.70E-07,,1.10869801,2.09E-05,,0.636968136,1.68E-06
0.639637768,0.000107147,,0.419993222,1.15E-06,,1.103752971,1.76E-05,,0.639025748,2.33E-06
0.641801655,0.000108921,,0.420879543,1.07E-06,,1.098693609,1.46E-05,,0.641011894,2.92E-06
0.642569482,0.000109987,,0.421961039,1.37E-06,,1.093698382,1.18E-05,,0.642942488,3.55E-06
0.642569482,0.000109987,,0.422805786,1.20E-06,,1.088715911,9.23E-06,,0.644973397,4.15E-06
0.642569482,0.000109987,,0.42412284,1.51E-06,,1.083674908,6.78E-06,,0.647022843,4.77E-06
0.642569482,0.000109987,,0.424925447,1.33E-06,,1.07868278,4.52E-06,,0.648899794,5.38E-06
0.642569482,0.000109987,,0.426142871,1.83E-06,,1.073686481,2.40E-06,,0.651037455,6.00E-06
0.642569482,0.000109987,,0.426889747,1.68E-06,,1.068728328,4.41E-07,,0.652978539,6.57E-06
0.642569482,0.000109987,,0.427827448,2.25E-06,,1.063634992,-1.53E-06,,0.654968619,7.20E-06
0.642569482,0.000109987,,0.428916037,1.80E-06,,1.058527589,-3.36E-06,,0.657042325,7.77E-06
0.642569482,0.000109987,,0.429897279,2.09E-06,,1.053653002,-5.10E-06,,0.659048915,8.40E-06
0.642569482,0.000109987,,0.431235373,2.09E-06,,1.048739076,-6.79E-06,,0.661045015,8.97E-06
0.642569482,0.000109987,,0.43212992,2.35E-06,,1.043624759,-8.43E-06,,0.663103104,9.59E-06
0.642569482,0.000109987,,0.432759881,2.28E-06,,1.038678169,-1.01E-05,,0.665104032,1.02E-05
0.642569482,0.000109987,,0.434128255,2.37E-06,,1.033601284,-1.16E-05,,0.667001963,1.08E-05
0.642569482,0.000109987,,0.435087562,2.54E-06,,1.028611183,-1.31E-05,,0.668986917,1.13E-05
0.642569482,0.000109987,,0.436009258,2.71E-06,,1.023684382,-1.48E-05,,0.671077609,1.19E-05
0.642569482,0.000109987,,0.436803311,2.63E-06,,1.018678665,-1.62E-05,,0.673091531,1.25E-05
0.642569482,0.000109987,,0.438001096,2.80E-06,,1.013651609,-1.76E-05,,0.675057232,1.31E-05
0.642569482,0.000109987,,0.438820481,3.02E-06,,1.008640647,-1.91E-05,,0.677063406,1.36E-05
0.642569482,0.000109987,,0.439810574,3.18E-06,,1.003650427,-2.06E-05,,0.679094136,1.42E-05
