UV/Vis spectrum of ZnO thin film on Al2O3(0001),
,
Wavelength (nm),Absorbance (a.u.)
952.5,0.058
953,0.049
953.5,0.042
954,0.037
954.5,0.034
955,0.03
955.5,0.027
956,0.024
956.5,0.022
957,0.021
957.5,0.02
958,0.019
958.5,0.017
959,0.016
959.5,0.016
960,0.015
960.5,0.015
961,0.014
961.5,0.012
962,0.013
962.5,0.012
963,0.014
963.5,0.013
964,0.014
964.5,0.014
965,0.014
965.5,0.015
966,0.015
966.5,0.014
967,0.013
967.5,0.013
968,0.013
968.5,0.015
969,0.015
969.5,0.014
970,0.017
970.5,0.017
971,0.015
971.5,0.014
972,0.012
972.5,0.011
973,0.013
973.5,0.015
974,0.015
974.5,0.016
975,0.014
975.5,0.013
976,0.013
976.5,0.012
977,0.011
977.5,0.013
978,0.014
978.5,0.013
979,0.014
979.5,0.013
980,0.011
980.5,0.013
981,0.011
981.5,0.01
982,0.01
982.5,0.008
983,0.007
983.5,0.006
984,0.004
984.5,0.004
985,0.003
985.5,0.004
986,0.004
986.5,0.005
987,0.005
987.5,0.006
988,0.007
988.5,0.004
989,0.003
989.5,0.001
990,0
990.5,0.001
991,0.002
991.5,0.004
992,0.001
992.5,0.002
993,0.002
993.5,0.001
994,0.003
994.5,0.003
995,0.003
995.5,0.002
996,0.002
996.5,0.004
997,0.003
997.5,0.002
998,0.002
998.5,-0.002
999,-0.003
999.5,-0.002
1000,-0.002
