
,t,E,I,assortment
,25.3,0.495526105165482,1.9281517714262E-5,C
,25.4,0.493513762950897,1.90642885863781E-5,C
,25.5,0.491569995880127,1.88768822699785E-5,C
,25.6,0.489530295133591,1.87067575752735E-5,C
,25.7,0.487479478120804,1.85492634773254E-5,C
,25.8,0.485516458749771,1.84133369475603E-5,C
,25.9,0.483515530824661,1.82869955897331E-5,C
,26.0,0.481568932533264,1.81685853749514E-5,C
,26.1,0.479597449302673,1.8060814589262E-5,C
,26.2,0.477486103773117,1.79483275860548E-5,C
,26.3,0.475432455539703,1.78505033254623E-5,C
,26.4,0.473458677530289,1.77582148462534E-5,C
,26.5,0.471566736698151,1.76779758185148E-5,C
,26.6,0.469469308853149,1.7586924135685E-5,C
,26.7,0.467543512582779,1.75132881850004E-5,C
,26.8,0.465528786182404,1.74382608383894E-5,C
,26.9,0.463537395000458,1.73618197441101E-5,C
,27.0,0.461499631404877,1.72923598438501E-5,C
,27.1,0.459554493427277,1.72295533120632E-5,C
,27.2,0.457623213529587,1.71693526208401E-5,C
,27.3,0.455497354269028,1.70973967760801E-5,C
,27.4,0.453515410423279,1.70383900403976E-5,C
,27.5,0.451498985290527,1.69772151857615E-5,C
,27.6,0.449387282133102,1.69148091226816E-5,C
,27.7,0.447536766529083,1.68694704771042E-5,C
,27.8,0.445521950721741,1.68154910206795E-5,C
,27.9,0.443530648946762,1.67660508304834E-5,C
,28.0,0.441475123167038,1.67083889245987E-5,C
,28.1,0.439599096775055,1.66704971343279E-5,C
,28.2,0.437460690736771,1.66128985583782E-5,C
,28.3,0.435496687889099,1.65673345327377E-5,C
,28.4,0.433507531881332,1.65188312530518E-5,C
,28.5,0.43149733543396,1.64759736508131E-5,C
,28.6,0.429515719413757,1.64343100041151E-5,C
,28.7,0.427487641572952,1.63878165185452E-5,C
,28.8,0.425510853528976,1.63483452051878E-5,C
,28.9,0.423533409833908,1.63071975111961E-5,C
,29.0,0.4215147793293,1.62665396928787E-5,C
,29.1,0.419544667005539,1.62275470793247E-5,C
,29.2,0.417589604854584,1.61916390061378E-5,C
,29.3,0.41553607583046,1.61520075052977E-5,C
,29.4,0.41353651881218,1.61124039441347E-5,C
,29.5,0.411481976509094,1.60708241164684E-5,C
,29.6,0.409649610519409,1.60201527178288E-5,C
,29.7,0.407542109489441,1.60099808126688E-5,C
,29.8,0.40552419424057,1.59637965261936E-5,C
,29.9,0.403496265411377,1.59280225634575E-5,C
,30.0,0.401579439640045,1.58960297703743E-5,C
,30.1,0.399533897638321,1.58603750169277E-5,C
,30.2,0.397507607936859,1.58216916024685E-5,C
,30.3,0.395571500062943,1.57926604151726E-5,C
